,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0010937054951985676,0.00033425169959578883,0.0064249833424886065,0.00021621330182356884,1,{'n_neighbors': 1},0.43820224719101125,0.5955056179775281,0.651685393258427,0.5617977528089888,0.09035459237314472,12
1,0.0006940364837646484,6.237733579612317e-05,0.005875031153361003,0.00020387937749917056,2,{'n_neighbors': 2},0.5168539325842697,0.651685393258427,0.651685393258427,0.6067415730337079,0.06356016010665595,1
2,0.0006630420684814453,2.200264644608041e-05,0.006742238998413086,0.0004002281777934186,3,{'n_neighbors': 3},0.5280898876404494,0.6179775280898876,0.6067415730337079,0.5842696629213483,0.03998905712371279,3
3,0.0010439554850260417,0.000264866075660089,0.006445884704589844,0.000853868661285034,4,{'n_neighbors': 4},0.4943820224719101,0.6404494382022472,0.6292134831460674,0.5880149812734082,0.06636721028715113,2
4,0.0008332729339599609,8.553081686568034e-05,0.0069646040598551435,0.00039955664481360043,5,{'n_neighbors': 5},0.42696629213483145,0.6179775280898876,0.6067415730337079,0.5505617977528089,0.08751551644605186,18
5,0.0009666283925374349,0.00037805631125126124,0.005793015162150065,0.0008080529233538955,6,{'n_neighbors': 6},0.4606741573033708,0.6292134831460674,0.5617977528089888,0.550561797752809,0.06926307868504467,17
6,0.0005805492401123047,4.1501728724175534e-05,0.005115032196044922,0.00019130393409507666,7,{'n_neighbors': 7},0.4943820224719101,0.651685393258427,0.5730337078651685,0.5730337078651685,0.0642188322077987,8
7,0.0005625089009602865,5.721527093750599e-05,0.004984617233276367,5.8552354128127306e-05,8,{'n_neighbors': 8},0.5056179775280899,0.6629213483146067,0.5617977528089888,0.5767790262172284,0.06508669362165827,7
8,0.0005909601847330729,7.958309158187757e-05,0.004930734634399414,8.493615172631405e-05,9,{'n_neighbors': 9},0.48314606741573035,0.6741573033707865,0.5617977528089888,0.5730337078651685,0.07838370612904999,8
9,0.0005115667978922526,3.6273767326378825e-05,0.0048741499582926435,0.00010542062108031809,10,{'n_neighbors': 10},0.48314606741573035,0.6741573033707865,0.5955056179775281,0.5842696629213483,0.07838370612904999,3
10,0.0006663004557291666,0.00013491238320601534,0.005094607671101888,0.0001334463146459459,11,{'n_neighbors': 11},0.43820224719101125,0.6741573033707865,0.550561797752809,0.5543071161048689,0.0963646466686787,16
11,0.0006368160247802734,0.0001086615179707341,0.0069586435953776045,0.001866302913952045,12,{'n_neighbors': 12},0.5393258426966292,0.6292134831460674,0.550561797752809,0.5730337078651685,0.03998905712371277,8
12,0.0006297429402669271,4.0517287280505264e-05,0.005476315816243489,0.0004598077006508912,13,{'n_neighbors': 13},0.5056179775280899,0.6067415730337079,0.5730337078651685,0.5617977528089888,0.04204109423341507,12
13,0.0008129278818766276,0.00034162037114719067,0.006286064783732097,0.0007021236318136815,14,{'n_neighbors': 14},0.5393258426966292,0.6067415730337079,0.5955056179775281,0.5805243445692884,0.029490666194800813,5
14,0.000656286875406901,1.6224535642321875e-05,0.005547364552815755,0.0003040714282733082,15,{'n_neighbors': 15},0.5280898876404494,0.6629213483146067,0.550561797752809,0.5805243445692884,0.05898133238960157,5
15,0.0010186831156412761,0.0006995826067170542,0.00618131955464681,0.0009047756148893216,16,{'n_neighbors': 16},0.4943820224719101,0.6067415730337079,0.5730337078651685,0.5580524344569288,0.04707792168530539,15
16,0.0015571912129720051,0.0006330487051357709,0.005838314692179362,0.000854860121140694,17,{'n_neighbors': 17},0.5280898876404494,0.6067415730337079,0.550561797752809,0.5617977528089887,0.03307775605366238,14
17,0.0007456938425699869,0.00010846522740228513,0.005690733591715495,0.0005996926468938441,18,{'n_neighbors': 18},0.48314606741573035,0.5842696629213483,0.5842696629213483,0.5505617977528089,0.047670120079991954,18
18,0.0010940233866373699,0.00044912881332156626,0.005251963933308919,0.000386705495131427,19,{'n_neighbors': 19},0.47191011235955055,0.6292134831460674,0.6067415730337079,0.5692883895131087,0.06946530708236483,11
