,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013890981674194336,0.002177184637623826,1.5219770272572835,0.049624824973135785,1,{'n_neighbors': 1},0.5880488909008601,0.5833333333333334,0.5910326086956522,0.5874716109766153,0.0031696108446100683,19
1,0.009790261586507162,0.005311761807117335,1.493494987487793,0.006392424329500402,2,{'n_neighbors': 2},0.5998189225894069,0.5910326086956522,0.5774456521739131,0.5894323944863241,0.009203670333369001,18
2,0.013334989547729492,0.005700969746430866,1.4802828629811604,0.07841669374012847,3,{'n_neighbors': 3},0.6088727931190584,0.6041666666666666,0.5978260869565217,0.6036218489140822,0.004526223521362647,17
3,0.017975409825642902,0.002425733163390397,1.3891152540842693,0.032801215309592686,4,{'n_neighbors': 4},0.6342236306020824,0.6227355072463768,0.6005434782608695,0.6191675387031096,0.013979412602732057,10
4,0.012801329294840494,0.00375512154549521,1.3764863014221191,0.05709356795500471,5,{'n_neighbors': 5},0.6278859212313264,0.6304347826086957,0.5919384057971014,0.6167530365457079,0.017577421084495917,13
5,0.011223634084065756,0.004539247649334952,1.3230032920837402,0.08651763826603331,6,{'n_neighbors': 6},0.6382978723404256,0.625,0.5987318840579711,0.6206765854661321,0.01643950104911087,9
6,0.012707710266113281,0.0019019159194474324,1.285335620244344,0.03966277341148164,7,{'n_neighbors': 7},0.6401086464463558,0.6281702898550725,0.6041666666666666,0.6241485343226983,0.014946289746790738,4
7,0.00788728396097819,0.0013927559097423872,1.247651735941569,0.01923858567678337,8,{'n_neighbors': 8},0.6441828881846989,0.6286231884057971,0.6082427536231884,0.6270162767378947,0.014716429410836541,1
8,0.010360638300577799,0.0019159784030987473,1.0701260566711426,0.08532332420007967,9,{'n_neighbors': 9},0.6364870982344952,0.6299818840579711,0.6046195652173914,0.6236961825032858,0.01374815013435093,5
9,0.010820627212524414,0.002188516773643826,1.1764084498087566,0.03864388717212322,10,{'n_neighbors': 10},0.6414667270258035,0.6286231884057971,0.6059782608695652,0.6253560587670554,0.014671137415298964,2
10,0.01598509152730306,0.007760228715235329,1.08860445022583,0.06726906571533611,11,{'n_neighbors': 11},0.6396559529198732,0.6272644927536232,0.6064311594202898,0.624450535031262,0.013709133070570551,3
11,0.012764453887939453,0.006643019226538112,1.1245230038960774,0.06892180347766515,12,{'n_neighbors': 12},0.6455409687641467,0.6218297101449275,0.5982789855072463,0.6218832214721068,0.019294660970338995,7
12,0.008538405100504557,0.0020148009578989006,1.122113545735677,0.03805222035567183,13,{'n_neighbors': 13},0.6423721140787687,0.6231884057971014,0.6000905797101449,0.6218836998620051,0.017286000700452876,6
13,0.014615058898925781,0.004232871452296769,0.9986418883005778,0.0777948394865278,14,{'n_neighbors': 14},0.6396559529198732,0.6222826086956522,0.6005434782608695,0.620827346625465,0.016000724134811226,8
14,0.010551929473876953,0.0008923584774913142,1.0735399723052979,0.07543901106496469,15,{'n_neighbors': 15},0.6351290176550475,0.6240942028985508,0.595108695652174,0.6181106387352574,0.016877180320887083,12
15,0.010467926661173502,0.0020041171381676216,1.1220590273539226,0.012937233031027897,16,{'n_neighbors': 16},0.6369397917609778,0.6240942028985508,0.5964673913043478,0.6191671286546255,0.016886105632231505,11
16,0.015087763468424479,0.006073507742335201,0.921768585840861,0.02938039674631214,17,{'n_neighbors': 17},0.6315074694431869,0.6218297101449275,0.5969202898550725,0.6167524898143956,0.014569417116656705,14
17,0.015767335891723633,0.00199723442466582,0.8391733169555664,0.02511068172943288,18,{'n_neighbors': 18},0.6269805341783613,0.6195652173913043,0.5946557971014492,0.6137338495570382,0.013825719870028662,16
18,0.0080718994140625,0.002429881155669094,0.8181505997975668,0.07432995591308268,19,{'n_neighbors': 19},0.634676324128565,0.6145833333333334,0.5978260869565217,0.6156952481394734,0.015064577896753806,15
