,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,param_force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.038152058919270836,0.006190668881996527,0.007875919342041016,0.0014346154471637895,0.1,True,True,"{'alpha': 0.1, 'fit_prior': True, 'force_alpha': True}",0.6075147125396106,0.6114130434782609,0.6114130434782609,0.6101135998320442,0.0018376908280192592,71
1,0.025281747182210285,0.00373017739148035,0.009881019592285156,0.0018542910329568322,0.1,True,False,"{'alpha': 0.1, 'fit_prior': True, 'force_alpha': False}",0.6075147125396106,0.6114130434782609,0.6114130434782609,0.6101135998320442,0.0018376908280192592,71
2,0.043330987294514976,0.010966023977887112,0.01685190200805664,0.001891622893093882,0.1,False,True,"{'alpha': 0.1, 'fit_prior': False, 'force_alpha': True}",0.5975554549569941,0.6059782608695652,0.6077898550724637,0.6037745236330077,0.0044593033676217225,75
3,0.04069741566975912,0.005840891811633475,0.014965693155924479,0.004026181020169447,0.1,False,False,"{'alpha': 0.1, 'fit_prior': False, 'force_alpha': False}",0.5975554549569941,0.6059782608695652,0.6077898550724637,0.6037745236330077,0.0044593033676217225,75
4,0.04214612642923991,0.010684461408044868,0.014548540115356445,0.00239000302961386,0.2,True,True,"{'alpha': 0.2, 'fit_prior': True, 'force_alpha': True}",0.6165685830692621,0.6091485507246377,0.6100543478260869,0.6119238272066623,0.0033050905045213007,69
5,0.04065831502278646,0.00626048682643513,0.010939995447794596,0.0015072701177886263,0.2,True,False,"{'alpha': 0.2, 'fit_prior': True, 'force_alpha': False}",0.6165685830692621,0.6091485507246377,0.6100543478260869,0.6119238272066623,0.0033050905045213007,69
6,0.04517372449239095,0.008462610343596074,0.01524662971496582,0.0017580852166605978,0.2,False,True,"{'alpha': 0.2, 'fit_prior': False, 'force_alpha': True}",0.6075147125396106,0.6064311594202898,0.6096014492753623,0.607849107078421,0.0013156872024366868,73
7,0.03777805964152018,0.005206393324203011,0.011867761611938477,0.003182746161348264,0.2,False,False,"{'alpha': 0.2, 'fit_prior': False, 'force_alpha': False}",0.6075147125396106,0.6064311594202898,0.6096014492753623,0.607849107078421,0.0013156872024366868,73
8,0.03262098630269369,0.0018483233654408196,0.011196613311767578,0.0005142359169621199,0.30000000000000004,True,True,"{'alpha': 0.30000000000000004, 'fit_prior': True, 'force_alpha': True}",0.6238116794929832,0.6082427536231884,0.6168478260869565,0.6163007530677094,0.006367748416883478,63
9,0.03696831067403158,0.011447246521230603,0.009571313858032227,0.002585306686422132,0.30000000000000004,True,False,"{'alpha': 0.30000000000000004, 'fit_prior': True, 'force_alpha': False}",0.6238116794929832,0.6082427536231884,0.6168478260869565,0.6163007530677094,0.006367748416883478,63
10,0.03973944981892904,0.0018122344544149582,0.009853601455688477,0.0015645463274297534,0.30000000000000004,False,True,"{'alpha': 0.30000000000000004, 'fit_prior': False, 'force_alpha': True}",0.6183793571751924,0.605072463768116,0.6127717391304348,0.6120745200245811,0.005454841207465739,67
11,0.04391296704610189,0.002849967746094938,0.013890266418457031,0.00596406744144612,0.30000000000000004,False,False,"{'alpha': 0.30000000000000004, 'fit_prior': False, 'force_alpha': False}",0.6183793571751924,0.605072463768116,0.6127717391304348,0.6120745200245811,0.005454841207465739,67
12,0.03431121508280436,0.006303676309121053,0.0094450314839681,0.0030963396808405424,0.4,True,True,"{'alpha': 0.4, 'fit_prior': True, 'force_alpha': True}",0.6265278406518787,0.6141304347826086,0.6222826086956522,0.6209802947100466,0.005144312999787962,59
13,0.038811683654785156,0.008034294640940472,0.014842351277669271,0.0055437840502414555,0.4,True,False,"{'alpha': 0.4, 'fit_prior': True, 'force_alpha': False}",0.6265278406518787,0.6141304347826086,0.6222826086956522,0.6209802947100466,0.005144312999787962,59
14,0.040791988372802734,0.007590891577231039,0.009011983871459961,0.002977355312296385,0.4,False,True,"{'alpha': 0.4, 'fit_prior': False, 'force_alpha': True}",0.6170212765957447,0.6086956521739131,0.613677536231884,0.6131314883338473,0.0034207827304641334,65
15,0.02648790677388509,0.004097982815843167,0.011748949686686197,0.0037959412397945537,0.4,False,False,"{'alpha': 0.4, 'fit_prior': False, 'force_alpha': False}",0.6170212765957447,0.6086956521739131,0.613677536231884,0.6131314883338473,0.0034207827304641334,65
16,0.03035871187845866,0.0022670142254142055,0.008487065633138021,0.0021606394159269337,0.5,True,True,"{'alpha': 0.5, 'fit_prior': True, 'force_alpha': True}",0.6328655500226347,0.6159420289855072,0.6227355072463768,0.6238476954181729,0.006953613591538157,53
17,0.039432366689046226,0.006136840207551225,0.012591361999511719,0.004467206898075127,0.5,True,False,"{'alpha': 0.5, 'fit_prior': True, 'force_alpha': False}",0.6328655500226347,0.6159420289855072,0.6227355072463768,0.6238476954181729,0.006953613591538157,53
18,0.031081597010294598,0.005886292044001758,0.007207393646240234,0.000162830056935742,0.5,False,True,"{'alpha': 0.5, 'fit_prior': False, 'force_alpha': True}",0.6260751471253961,0.613677536231884,0.6218297101449275,0.6205274645007359,0.005144386698470123,61
19,0.03248929977416992,0.0005762230318564919,0.010003328323364258,0.001514972361956216,0.5,False,False,"{'alpha': 0.5, 'fit_prior': False, 'force_alpha': False}",0.6260751471253961,0.613677536231884,0.6218297101449275,0.6205274645007359,0.005144386698470123,61
