,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,param_force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0015426476796468098,0.00011292710254138528,0.0004715919494628906,2.8056508413993167e-05,0.1,True,True,"{'alpha': 0.1, 'fit_prior': True, 'force_alpha': True}",0.7865168539325843,0.8876404494382022,0.8539325842696629,0.8426966292134831,0.04204109423341503,27
1,0.0014142195383707683,8.8299962267799e-05,0.0004424254099527995,1.3981351920572267e-05,0.1,True,False,"{'alpha': 0.1, 'fit_prior': True, 'force_alpha': False}",0.7865168539325843,0.8876404494382022,0.8539325842696629,0.8426966292134831,0.04204109423341503,27
2,0.0017836888631184895,0.0004199482470132062,0.00045561790466308594,2.9464395267081826e-05,0.1,False,True,"{'alpha': 0.1, 'fit_prior': False, 'force_alpha': True}",0.7865168539325843,0.898876404494382,0.8539325842696629,0.846441947565543,0.046175385790029756,13
3,0.0015853246053059895,0.0002269979717667756,0.00045561790466308594,3.05517075350469e-05,0.1,False,False,"{'alpha': 0.1, 'fit_prior': False, 'force_alpha': False}",0.7865168539325843,0.898876404494382,0.8539325842696629,0.846441947565543,0.046175385790029756,13
4,0.0013649463653564453,7.19868830596191e-05,0.00043574968973795575,1.600229002463432e-05,0.2,True,True,"{'alpha': 0.2, 'fit_prior': True, 'force_alpha': True}",0.797752808988764,0.9101123595505618,0.8539325842696629,0.8539325842696629,0.04587059443414193,5
5,0.0018620491027832031,0.0003007335129101236,0.00048224131266276043,6.110227804794784e-05,0.2,True,False,"{'alpha': 0.2, 'fit_prior': True, 'force_alpha': False}",0.797752808988764,0.9101123595505618,0.8539325842696629,0.8539325842696629,0.04587059443414193,5
6,0.002133051554361979,0.00047353784579894244,0.0005047321319580078,2.63111582888229e-05,0.2,False,True,"{'alpha': 0.2, 'fit_prior': False, 'force_alpha': True}",0.7865168539325843,0.9101123595505618,0.8539325842696629,0.850187265917603,0.05052710697839714,9
7,0.0017646153767903645,0.00043767180849958254,0.00048160552978515625,4.913197045667563e-05,0.2,False,False,"{'alpha': 0.2, 'fit_prior': False, 'force_alpha': False}",0.7865168539325843,0.9101123595505618,0.8539325842696629,0.850187265917603,0.05052710697839714,9
8,0.0017697811126708984,0.00035535295457199135,0.000471194585164388,5.8362846678865576e-05,0.30000000000000004,True,True,"{'alpha': 0.30000000000000004, 'fit_prior': True, 'force_alpha': True}",0.8202247191011236,0.898876404494382,0.8539325842696629,0.8576779026217228,0.03221844669304354,1
9,0.001407305399576823,0.00013212338426036636,0.0005066394805908203,1.0122733642635763e-05,0.30000000000000004,True,False,"{'alpha': 0.30000000000000004, 'fit_prior': True, 'force_alpha': False}",0.8202247191011236,0.898876404494382,0.8539325842696629,0.8576779026217228,0.03221844669304354,1
10,0.001522064208984375,0.0001090055375572734,0.0004851818084716797,2.6699332728124617e-05,0.30000000000000004,False,True,"{'alpha': 0.30000000000000004, 'fit_prior': False, 'force_alpha': True}",0.8202247191011236,0.898876404494382,0.8539325842696629,0.8576779026217228,0.03221844669304354,1
11,0.0012253920237223308,7.618716171252761e-05,0.0003902117411295573,1.5116983022128e-05,0.30000000000000004,False,False,"{'alpha': 0.30000000000000004, 'fit_prior': False, 'force_alpha': False}",0.8202247191011236,0.898876404494382,0.8539325842696629,0.8576779026217228,0.03221844669304354,1
12,0.0012753804524739583,9.606352389648151e-05,0.00041095415751139325,2.674849149513971e-05,0.4,True,True,"{'alpha': 0.4, 'fit_prior': True, 'force_alpha': True}",0.8089887640449438,0.8876404494382022,0.8426966292134831,0.846441947565543,0.03221844669304354,13
13,0.0013075669606526692,0.00016785089410442327,0.00043010711669921875,3.79742247488155e-05,0.4,True,False,"{'alpha': 0.4, 'fit_prior': True, 'force_alpha': False}",0.8089887640449438,0.8876404494382022,0.8426966292134831,0.846441947565543,0.03221844669304354,13
14,0.0012930234273274739,9.723354173972449e-05,0.00042327245076497394,1.3360425408414027e-05,0.4,False,True,"{'alpha': 0.4, 'fit_prior': False, 'force_alpha': True}",0.8089887640449438,0.898876404494382,0.8539325842696629,0.8539325842696629,0.03669647554731353,5
15,0.001256386439005534,0.00010592161106446315,0.00042621294657389325,2.8548129113561004e-05,0.4,False,False,"{'alpha': 0.4, 'fit_prior': False, 'force_alpha': False}",0.8089887640449438,0.898876404494382,0.8539325842696629,0.8539325842696629,0.03669647554731353,5
16,0.0012462139129638672,0.0001311398993877793,0.00042517979939778644,9.665677258498364e-06,0.5,True,True,"{'alpha': 0.5, 'fit_prior': True, 'force_alpha': True}",0.8089887640449438,0.9101123595505618,0.8202247191011236,0.846441947565543,0.04525485383368754,13
17,0.001454750696818034,0.00019142357674046718,0.0007560253143310547,0.0004502553645623282,0.5,True,False,"{'alpha': 0.5, 'fit_prior': True, 'force_alpha': False}",0.8089887640449438,0.9101123595505618,0.8202247191011236,0.846441947565543,0.04525485383368754,13
18,0.0011952718098958333,0.00012740899899630254,0.0006353855133056641,0.00028486427697804284,0.5,False,True,"{'alpha': 0.5, 'fit_prior': False, 'force_alpha': True}",0.8089887640449438,0.9101123595505618,0.8202247191011236,0.846441947565543,0.04525485383368754,13
19,0.001157999038696289,2.872391472202808e-05,0.00042931238810221356,6.187665195408417e-06,0.5,False,False,"{'alpha': 0.5, 'fit_prior': False, 'force_alpha': False}",0.8089887640449438,0.9101123595505618,0.8202247191011236,0.846441947565543,0.04525485383368754,13
